"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"25","One","25","He  proceeded  to  strike the  headlight  with  his bat.  The glass  broke  and the bulb hung out.","17","2","7","{""PRON"": 2, ""VERB"": 4, ""PRT"": 2, ""DET"": 3, ""NOUN"": 4, ""ADP"": 1, ""CONJ"": 1}"
"26","One","26","'What's your problem,' the boy said, blood spurting out of his nose.","16","1","5","{""PRON"": 3, ""VERB"": 3, ""NOUN"": 4, ""."": 3, ""DET"": 1, ""ADP"": 2}"
"27","One","27","'You tell me what's up? You like pressing horns?' Ish said.","13","3","3","{""PRT"": 3, ""VERB"": 4, ""PRON"": 3, ""ADP"": 1, ""NOUN"": 2}"
"28","One","28","Ish grabbed his collar and gave six non-stop slaps across his face. Omi picked up  the  bat  and  smashed  the  windscreen.  The  glass  broke  into  a  million  pieces.","28","3","9","{""NOUN"": 9, ""VERB"": 5, ""PRON"": 2, ""CONJ"": 2, ""NUM"": 2, ""ADJ"": 1, ""ADP"": 2, ""PRT"": 1, ""DET"": 4}"
"29","One","29","People on the street gathered around as there is nothing quite as entertaining as a street fight.","17","1","8","{""NOUN"": 5, ""ADP"": 3, ""DET"": 3, ""VERB"": 2, ""ADV"": 3, ""ADJ"": 1}"
"30","One","30","The  boy  shivered  in  pain  and  fear.  What  would  he  tell  his  daddy  about  his broken car and face?","19","2","7","{""DET"": 1, ""NOUN"": 6, ""VERB"": 3, ""ADP"": 2, ""CONJ"": 2, ""PRON"": 4, ""ADJ"": 1}"
"31","One","31","Ish's dad heard the commotion and came out of the house. Ish held the boy in an elbow lock. The boy was struggling to breathe.","26","3","10","{""NOUN"": 9, ""PRT"": 2, ""VERB"": 6, ""DET"": 5, ""CONJ"": 1, ""ADP"": 3}"
"32","One","32","'Leave him,' Ish's dad said.","8","1","1","{""VERB"": 2, ""PRON"": 1, ""."": 2, ""NOUN"": 2, ""PRT"": 1}"
"33","One","33","Ish gripped him tighter.","4","1","1","{""NOUN"": 1, ""VERB"": 2, ""PRON"": 1}"
"34","One","34","'I said leave him,' Ish's dad shouted, 'what's going on here?' 'He has been troubling Vidya since last week,' Ish said. He kicked the boy's face with his knee and released him. The boy kneeled on the floor and sucked in air.","52","4","14","{""PRT"": 3, ""PRON"": 7, ""VERB"": 13, ""."": 6, ""NOUN"": 11, ""ADP"": 5, ""ADV"": 1, ""ADJ"": 1, ""DET"": 3, ""CONJ"": 2}"
"35","One","35","The last kick from Ish had smeared the blood from his nose across his face.","15","1","6","{""DET"": 2, ""ADJ"": 2, ""NOUN"": 4, ""ADP"": 3, ""VERB"": 2, ""PRON"": 2}"
"36","One","36","'And what do you think you are doing?' Ish's dad asked him.","14","2","7","{""VERB"": 6, ""PRON"": 4, ""."": 1, ""NOUN"": 2, ""PRT"": 1}"
"37","One","37","'Teaching  him  a  lesson,'  Ish  said  and  unhooked  his  bat  stuck  in  the windscreen.","16","1","6","{""VERB"": 3, ""PRON"": 2, ""DET"": 2, ""NOUN"": 5, ""."": 2, ""CONJ"": 1, ""ADP"": 1}"
"38","One","38","'Really, when will you learn your lessons?' Ish's dad said to him.","15","2","6","{""ADV"": 2, ""."": 1, ""VERB"": 3, ""PRON"": 3, ""NOUN"": 3, ""PRT"": 3}"
"39","One","39","Ish turned away.","3","1","0","{""NOUN"": 1, ""VERB"": 1, ""PRT"": 1}"
"40","One","40","'You go now,' Ish's dad said to the beeping driver, who folded his hands. Seeing that no one cared about his apology, he trudged back to his car.","33","2","12","{""NOUN"": 9, ""VERB"": 6, ""ADV"": 2, ""."": 4, ""PRT"": 3, ""DET"": 2, ""PRON"": 5, ""ADP"": 2}"
"41","One","41","Ish's  dad  turned  to  his  neighbours.  'For  one  whole  year  he's  been  sitting  at home.  Ran  away  from  the  army  of  his  own  country  and  then  wants  to  teach lessons  to  others!  He  and  his  loafer  friends  hanging  around  the  house  all  day long.' One sidelong glance at his dad and Ish walked back home.","58","5","21","{""NOUN"": 17, ""PRT"": 5, ""VERB"": 10, ""PRON"": 6, ""NUM"": 2, ""ADJ"": 3, ""ADP"": 5, ""ADV"": 3, ""DET"": 3, ""CONJ"": 3, ""."": 1}"
"42","One","42","'Where the hell are you going now?' Ish's dad said.","12","2","4","{""ADV"": 2, ""DET"": 1, ""NOUN"": 3, ""VERB"": 3, ""PRON"": 1, ""."": 1, ""PRT"": 1}"
"43","One","43","'Match. Why? You want to curse me some more?' Ish said.","12","4","4","{""VERB"": 4, ""ADV"": 2, ""PRON"": 2, ""PRT"": 2, ""DET"": 1, ""NOUN"": 1}"
"44","One","44","'When you've wasted your entire life, what's another day?' Ish's father said and the neighbours half-nodded their heads in sympathy.","25","2","7","{""PRT"": 3, ""PRON"": 4, ""VERB"": 5, ""ADJ"": 1, ""NOUN"": 7, ""."": 1, ""DET"": 2, ""CONJ"": 1, ""ADP"": 1}"
"45","One","45","We missed the final five overs of the match. Luckily, India won and Ish didn't get that upset.","20","2","7","{""PRON"": 1, ""VERB"": 4, ""DET"": 3, ""ADJ"": 1, ""NUM"": 1, ""NOUN"": 6, ""ADP"": 1, ""."": 1, ""CONJ"": 1, ""ADV"": 1}"
"46","One","46","'Yes, yes, yes,' Ishaan jumped. 'Gopi on me tonight.' I love idiots.","17","3","2","{""X"": 3, ""."": 5, ""NOUN"": 2, ""VERB"": 2, ""PRT"": 1, ""ADP"": 1, ""PRON"": 2, ""ADJ"": 1}"
"47","One","47","Actually,  Ishaan  is  not  an  idiot.  At  least  not  as  much  as  Omi. It  is  just  that both of them suck at studies, especially maths, and I am good at it. Hence, I have this chip on my shoulder. It does sound a bit conceited, but it is the only chip on my  shoulder.  For instance, I  am easily the poorest of  the  three (though I will be the  richest  one  day),  even  though  Ishaan  and  Omi  aren't  particularly  wealthy.","90","6","39","{""ADV"": 10, ""."": 9, ""NOUN"": 15, ""VERB"": 12, ""DET"": 8, ""ADP"": 12, ""ADJ"": 8, ""PRON"": 11, ""CONJ"": 3, ""NUM"": 2}"
"48","One","48","Ishaan's dad works in the telephone exchange, and while they have lots of phones in  the  house,  the  salary  is  modest.  Omi's  dad  is  the  priest  of  the  Swamibhakti temple, which  actually  belongs to  Omi's  mom's  family  for  generations.  And  that does not pay well either. But still, they are a lot better off than me and my mom.","67","4","29","{""NOUN"": 19, ""PRT"": 5, ""VERB"": 8, ""ADP"": 8, ""DET"": 8, ""."": 4, ""CONJ"": 4, ""PRON"": 4, ""ADJ"": 2, ""ADV"": 5}"
"49","One","49","My  mom  runs  a  small  Gujarati  snacks  business,  and  the  little  bit  of  money  I make from tuitions helps us get by, but that's about it.","29","1","10","{""PRON"": 4, ""NOUN"": 7, ""VERB"": 5, ""DET"": 3, ""ADJ"": 2, ""."": 2, ""CONJ"": 2, ""ADP"": 4}"
"50","One","50","'We won, we won the series 3-1,' Omi repeated what he read on the TV screen.","19","1","8","{""NUM"": 1, ""VERB"": 4, ""."": 3, ""PRON"": 3, ""DET"": 2, ""NOUN"": 5, ""ADP"": 1}"
"51","One","51","Of course, it would have been too much for him to express such original insight.","16","1","8","{""ADP"": 2, ""NOUN"": 2, ""."": 1, ""PRON"": 2, ""VERB"": 4, ""ADV"": 1, ""ADJ"": 3, ""PRT"": 1}"
"52","One","52","Some  say  Omi  was  born  stupid,  while  some  say  he  became  stupid  after a  cork ball hit him on the head in Class VI. I didn't know the reason, but I did know that maybe the best idea for him would be to become a priest. He wouldn't have much of  a  career  otherwise,  given  that  he  barely  scraped  through  Class  XII,  after repeating the maths compartment exam twice. But he didn't want to be a priest, so my plan was the best one.","92","4","38","{""DET"": 11, ""VERB"": 22, ""NOUN"": 17, ""ADJ"": 5, ""."": 5, ""ADP"": 11, ""PRON"": 9, ""ADV"": 8, ""CONJ"": 2, ""PRT"": 2}"
"53","One","53","I  ate  the  khakra.  My  mother  made  it  better  than  Ishaan's  mom.  We  were professionals after all.","18","3","6","{""PRON"": 3, ""VERB"": 3, ""DET"": 2, ""NOUN"": 6, ""ADJ"": 1, ""ADP"": 2, ""PRT"": 1}"
"54","One","54","'I'll go home  to change and  then  we  will go to  Gopi,  ok?' I said  as Ishaan and Omi  were  still  dancing.  Dancing  after  an  Indian  victory  was  a  ritual  we  had started when we were eleven, one that should have stopped by thirteen. However, here  we  were  at  twenty-one,  jigging  like  juveniles.  Ok,  so  we  won,  someone  had to. In mathematical terms, there was a pretty good probability - did it really need jumping around?","86","6","36","{""PRT"": 5, ""PRON"": 8, ""VERB"": 23, ""NOUN"": 12, ""CONJ"": 2, ""ADV"": 8, ""."": 8, ""ADP"": 9, ""DET"": 5, ""ADJ"": 5, ""NUM"": 1}"
"55","One","55","I walked back home.","4","1","0","{""PRON"": 1, ""VERB"": 1, ""ADV"": 1, ""NOUN"": 1}"
"56","One","56","The  narrow  lanes  of  the  old  city  were  bustling  with  the  evening  crowd.  My house and Ishaan's were only half a kilometre apart. Everything in my world fell between this distance. I passed by the Nana Park, extra packed with kids playing cricket as India had won the match. I played here almost every day of my school life.","61","5","23","{""DET"": 9, ""ADJ"": 4, ""NOUN"": 20, ""ADP"": 8, ""VERB"": 10, ""CONJ"": 1, ""PRT"": 1, ""ADV"": 3, ""PRON"": 4, ""."": 1}"
"57","One","57","We still come here sometimes, but now we prefer the abandoned bank branch compound near my home.","18","1","6","{""PRON"": 3, ""ADV"": 4, ""VERB"": 3, ""."": 1, ""CONJ"": 1, ""DET"": 1, ""NOUN"": 4, ""ADP"": 1}"
"58","One","58","A tennis ball landed at my feet. A sweaty twelve-year-old boy came running to me. I picked up the ball for him. Nana Park is where I had first met Ishaan and Omi, over fifteen years ago. There was no dramatic moment that marked the start of our friendship. Maybe we sized each other up as the only six-year-olds in the ground and started playing together.","67","6","29","{""DET"": 10, ""NOUN"": 15, ""VERB"": 12, ""ADP"": 6, ""PRON"": 7, ""ADJ"": 7, ""PRT"": 3, ""ADV"": 4, ""CONJ"": 2, ""."": 1}"
"59","One","59","Like  most  neighbourhood  kids,  we  went  to  the  Belrampur  Municipal  School, hundred metres down Nana Park. Of course, only I studied while Ish and Omi ran to the park at every opportunity.","35","2","11","{""ADP"": 4, ""ADJ"": 2, ""NOUN"": 12, ""."": 3, ""PRON"": 2, ""VERB"": 4, ""PRT"": 3, ""DET"": 3, ""ADV"": 1, ""CONJ"": 1}"
"60","One","60","Three bicycles tried to overtake each other in the narrow by lane. I had to step inside Qazi restaurant to let them pass. A scent of fried coriander and garlic filled the  narrow  room.  The  cook  prepared  dinner,  a  bigger  feast  than  usual  as  India had  won  the  match.  Ishaan  and  I  came  here  sometimes  (without  telling  Omi,  of course)  for  the  cheap  food  and  extraordinary  mutton.  The  owner  assured  us 'small mutton', implying goat and not beef. I believed him, as he would not have survived  in  the  neighbourhood  if  he  served  beef.  I  wanted  to  eat  here  instead  of Gopi. But we had promised Gopi to Omi, and the food was fantastic there as well.","125","9","47","{""NUM"": 1, ""NOUN"": 26, ""VERB"": 27, ""PRT"": 5, ""DET"": 11, ""ADJ"": 9, ""ADP"": 12, ""PRON"": 10, ""ADV"": 10, ""CONJ"": 6, ""."": 8}"
"61","One","61","Food is a passion here, especially as Gujarat is a dry state. People here get drunk on food.","19","2","8","{""NOUN"": 6, ""VERB"": 4, ""DET"": 2, ""ADV"": 3, ""."": 1, ""ADP"": 2, ""ADJ"": 1}"
"62","One","62","Yes, Ahmedabad is my city. It is strange, but if you have had happy times in a city  for  a  long  time,  you  consider  it  the  best  city  in  the  world.  I  feel  the  same about Ahmedabad. I know it is not one of those hip cities like Delhi, Bombay or Bangalore.  I  know  people  in  these  cities  think  of  Ahmedabad  as  a  small  town, though  that  is  not  really  the  case.  Ahmedabad  is  the  sixth  largest  city  in  India, with  a  population  of  over  five  million.  But  I  guess  if  you have  to  emphasise  the importance of something,  then  it probably isn't as important  in  the  first  place. I could  tell  you  that Ahmedabad  has  better  multiplexes  than  Delhi  or  nicer  roads than Bombay or better restaurants than Bangalore - but you will not believe me.","145","8","67","{""X"": 1, ""."": 8, ""NOUN"": 31, ""VERB"": 21, ""PRON"": 16, ""ADJ"": 13, ""CONJ"": 6, ""ADP"": 22, ""DET"": 14, ""ADV"": 9, ""NUM"": 3, ""PRT"": 1}"
"63","One","63","Or even if you do, you won't give a damn. I know Belrampur is not Bandra, but why  should  I  defend  being  called  a  small-town-person  as  if  it  is  a  bad  thing?  A funny thing about small towns is that people say it is the real India. I guess they do acknowledge that at one level the India of the big cities is fake. Yes, I am from the  old  city  of  Amdavad  and  proud  of  it.  We  don't  have  as  many  fashion  shows and we still like our women to wear clothes. I don't see anything wrong with that.","106","7","48","{""CONJ"": 4, ""ADV"": 8, ""ADP"": 12, ""PRON"": 14, ""VERB"": 23, ""."": 3, ""DET"": 9, ""NOUN"": 22, ""ADJ"": 9, ""NUM"": 1, ""PRT"": 1}"
"64","One","64","I stepped out of Qazi and continued my way home, turning in the pol towards Omi's temple. Of course, we called it Omi's temple because he lived there, but the official  name  was  the  Swamibhakti  temple.  As  I  entered  the  by  lane,  two  people fought over garbage disposal around the crammed pol.","58","3","19","{""PRON"": 6, ""VERB"": 8, ""ADP"": 9, ""NOUN"": 17, ""CONJ"": 2, ""."": 4, ""DET"": 5, ""PRT"": 3, ""ADV"": 1, ""ADJ"": 2, ""NUM"": 1}"
"65","One","65","There are things about my small town neighbourhood that I want to change. In some ways,  it  is way behind  the  rest of Ahmedabad. For  one,  the whole  old city could be a lot cleaner. The new city across the other side of the Sabarmati river has  gleaming  glass  and  steel  buildings,  while  the  old  city  finds  it  difficult  to  get rubbish cleared on time.","68","4","24","{""DET"": 9, ""VERB"": 11, ""NOUN"": 18, ""ADP"": 10, ""PRON"": 4, ""ADJ"": 9, ""PRT"": 2, ""."": 3, ""NUM"": 1, ""CONJ"": 1}"
"66","One","66","I want to change another thing. I want to stop the gossip theories people come up with about other people. Like the theory about Omi becoming stupid because a  cricket  ball  hit  him.  There  is  no  basis  for  it,  but  every  pol  in  Belrampur  talks about it. Or the theory that Ish was thrown out of NDA and did not run away. I know for a fact that it is not true. Ish cannot handle unquestioned authority, and even though he was really excited about the army (which was his only option), he could not stand some Major ordering him around for the next two decades of his life.  So  he  paid the  penalty,  cited  personal  reasons  like  ailing  parents  or something and ran right back to Belrampur.","135","8","58","{""PRON"": 13, ""VERB"": 26, ""PRT"": 4, ""DET"": 14, ""NOUN"": 28, ""ADJ"": 8, ""ADP"": 18, ""."": 6, ""CONJ"": 6, ""ADV"": 11, ""NUM"": 1}"
"67","One","67","And of course, what I want to stop the most - the weirdest theory that I became emotionless the day dad left us. Dad left mom and me over ten years ago, for we found  out  he  had  a  second  wife  across  town.  As  far  as  I  can  remember,  I  was never good with emotional stuff. I love maths, I love logic and those subjects have no  place  for  emotion.  I  think  human  beings  waste  too  much  time  on  emotions.","84","5","28","{""CONJ"": 3, ""ADP"": 8, ""NOUN"": 17, ""."": 5, ""PRON"": 12, ""VERB"": 15, ""PRT"": 2, ""DET"": 6, ""ADV"": 7, ""ADJ"": 8, ""NUM"": 1}"
"68","One","68","The  prime  example  is  my  mother.  Dad's  departure  was  followed  by  months  of crying  with  every  lady  in  every  pol  coming  down  to  sympathise  with  her.  She spent another year consulting astrologers as to which planet caused dad to move out,  and  when  would  that  position  change.  Thereafter,  a  string  of  grandaunts came to live with her as she could not bring herself to stay alone. It wasn't until I turned  fifteen  and  understood  how  the  world  worked  that  I  could  coax  her  into opening the snacks business. Of course, my coaxing was part of it, the rest of it was that all her jewellery was officially sold by then.","116","6","52","{""DET"": 11, ""ADJ"": 3, ""NOUN"": 24, ""VERB"": 26, ""PRON"": 14, ""PRT"": 6, ""ADP"": 17, ""ADV"": 9, ""."": 4, ""CONJ"": 2}"
"69","One","69","Her snacks were great, but she was  no  businessman.  Emotional people make terrible  businessmen.  She  would  sell  on  credit  and  buy  on  cash - the  first mistake  a  small  business  can  make.  Next,  she  would  keep  no  accounts.  The home  spending  money  was  often  mixed  with  the  business  money,  and we frequently  had  months  where  the  choice  was  to  buy  either  rice  for  our consumption or black pepper for the papads.","74","5","28","{""PRON"": 6, ""NOUN"": 18, ""VERB"": 15, ""ADJ"": 9, ""."": 4, ""CONJ"": 4, ""DET"": 9, ""ADP"": 5, ""ADV"": 3, ""PRT"": 1}"
"70","One","70","Meanwhile,  I  studied  as  much  as  I  could.  Our  school  was  not  Oxford,  and emphasis on studies was low with more teachers bunking classes than students.","28","2","10","{""ADV"": 3, ""."": 2, ""PRON"": 3, ""VERB"": 5, ""ADJ"": 3, ""ADP"": 4, ""NOUN"": 7, ""CONJ"": 1}"
"71","One","71","Still,  I  topped  maths  every  single  year.  People  thought  I  was  gifted  when  I  hit  a hundred in maths in class X. For me, it was no big deal. For once, the gossip vine helped.  The  news  of  my  score  spread  across  pols,  and  we  had  a  new  source  of income - tuitions.  I  was  the  only  maths  tutor  in  Belrampur,  and  bad  maths scores  had  reached  epidemic  proportions.  Along  with  khaman  and  khakra, trigonometry  and  algebra  became  sources  of  income  in  the  Patel  household.  Of course, it was a poor neighbourhood, so people could not pay much. Still, another thousand  bucks  a  month  was  a  lifestyle  changing  event  for  us.  From  fan,  we graduated  to  cooler.  From  chairs,  we  went  to  a  secondhand  sofa.  Life  became good.","139","12","44","{""ADV"": 6, ""."": 12, ""PRON"": 12, ""VERB"": 22, ""NOUN"": 43, ""DET"": 13, ""ADJ"": 10, ""ADP"": 15, ""CONJ"": 4, ""PRT"": 2}"
"72","One","72","I  reached  Omi's  temple.  The  loud  rhythmic  chime  of the  bell  interrupted  my thoughts. I checked my watch, it was 6 p.m., the daily aarti time. I saw Omi's dad from  a  distance,  his  eyes  closed  as  he  chanted  the  mantras.  Even  though I  was an agnostic, there was something amazing about his face - it had genuine feeling for the God he prayed to. No wonder he was among the most liked people in the community.  Omi's  mother  was  beside  him,  her  maroon  saree  draped  along  her head and hands folded. Next to her was Bittoo Mama, Omi's maternal uncle. He was  dressed  in  a white  dhoti  and  saffron  scarf.  His  huge  biceps  seemed  even larger with his folded hands. His eyes, too, were transfixed in genuine admiration for the idols of Krishna and Radha.","148","11","52","{""PRON"": 21, ""VERB"": 24, ""NOUN"": 38, ""PRT"": 6, ""DET"": 13, ""ADJ"": 13, ""ADP"": 14, ""."": 9, ""NUM"": 1, ""ADV"": 6, ""CONJ"": 3}"
"73","One","73","Omi would get into trouble for reaching the aarti late. It would not be the first time though, as matches in Nana Park were at a crucial stage around 6 p.m.","32","2","11","{""NOUN"": 9, ""VERB"": 6, ""ADP"": 5, ""DET"": 3, ""ADJ"": 3, ""PRON"": 1, ""ADV"": 3, ""."": 1, ""NUM"": 1}"
"74","One","74","'How  was  the  match?'  mom  said  as  I  reached  home.  She  stood  outside  the house.","16","3","4","{""NOUN"": 5, ""VERB"": 4, ""DET"": 2, ""PRT"": 1, ""ADP"": 2, ""PRON"": 2}"
"75","One","75","She  had  just  finished  loading  a  hired  auto  with  fresh  dhokla  for  a  marriage party. Finally, my mother could delegate routine tasks like delivery and focus on her core competence - cooking. She took out a dhokla piece from the auto for me.","44","3","16","{""PRON"": 5, ""VERB"": 6, ""ADV"": 1, ""DET"": 4, ""ADJ"": 4, ""NOUN"": 14, ""ADP"": 6, ""."": 2, ""CONJ"": 1, ""PRT"": 1}"
